Dep_Airport,AIRPORT,CITY,STATE,Performance_Tier,total_flights,avg_dep_delay,delay_volatility,unique_airlines,LATITUDE,LONGITUDE
RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,3,5893,7.648226709655524,66.48399673445496,3,44.25407,-121.14996
RDU,Raleigh-Durham International Airport,Raleigh,NC,0,58391,12.738589851175695,61.4735266805121,13,35.87764,-78.78747
RIC,Richmond International Airport,Richmond,VA,0,18431,11.41148065758776,60.54786823530703,12,37.50517,-77.31967
RNO,Reno/Tahoe International Airport,Reno,NV,0,19423,11.238016784224888,57.94658973831699,11,39.49858,-119.76806
ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,3,2732,10.079062957540264,58.112968817489936,6,37.32547,-79.97543
ROC,Greater Rochester International Airport,Rochester,NY,0,12799,10.739589030392999,61.91461729792964,13,43.11887,-77.67238
RST,Rochester International Airport,Rochester,MN,3,1247,6.708099438652766,58.45874749826191,5,43.90883,-92.49799
RSW,Southwest Florida International Airport,Ft. Myers,FL,0,32524,12.412649120649366,64.0315186865127,12,26.53617,-81.75517
SAF,Santa Fe Municipal Airport,Santa Fe,NM,2,1752,11.6837899543379,78.27013517509866,2,35.61678,-106.08814
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,4,89722,10.170348409531664,50.35336335118981,11,32.73356,-117.18966
SAT,San Antonio International Airport,San Antonio,TX,0,39087,9.47916186967534,52.18823674821521,12,29.53369,-98.46978
SAV,Savannah/Hilton Head International Airport,Savannah,GA,0,17151,11.63133344994461,59.50183274802048,12,32.12758,-81.20214
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,0,7074,10.642069550466497,61.12929158634977,6,34.42621,-119.84037
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,0,5747,11.485296676526884,72.99930088919598,8,41.70895,-86.31847
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,2,4786,14.8972001671542,87.73580011151898,4,35.23706,-120.64239
SCE,University Park Airport,State College,PA,3,1256,8.154458598726114,48.29601647337688,4,40.85121,-77.8463
SDF,Louisville International Airport (Standiford Field),Louisville,KY,0,23026,9.473421349778512,69.03764358417367,11,38.17439,-85.736
SEA,Seattle-Tacoma International Airport,Seattle,WA,4,162441,8.261048626886069,42.92008740884138,11,47.44898,-122.30931
SFB,Orlando Sanford Airport,Orlando,FL,2,9033,14.207129414369534,68.01983951327772,1,28.5383,-81.3792
SFO,San Francisco International Airport,San Francisco,CA,4,133925,11.556206832182191,51.423610903732325,9,37.619,-122.37484
SGF,Springfield-Branson National Airport,Springfield,MO,0,7256,11.376653803748622,58.28790163433355,6,37.24433,-93.38686
SGU,St. George Regional Airport,St George,UT,3,2602,5.264411990776326,48.21596171069464,1,37.09058,-113.59306
SHV,Shreveport Regional Airport,Shreveport,LA,2,3742,14.23757349011224,76.06060871515618,5,32.44663,-93.8256
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,3,1368,-1.1111111111111112,43.34213517046295,2,57.04714,-135.3616
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,3,51529,6.910807506452677,34.6077724391308,10,37.36186,-121.92901
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,3,1096,6.037408759124087,45.87309739989398,2,31.35775,-100.49631
SJU,Luis Muñoz Marín International Airport,San Juan,PR,1,32072,20.877213769019704,81.9483072941352,8,18.43942,-66.00183
SLC,Salt Lake City International Airport,Salt Lake City,UT,4,108169,8.885956235150552,50.579291498937295,10,40.78839,-111.97777
SMF,Sacramento International Airport,Sacramento,CA,0,52428,8.218642710002289,43.407468285391275,11,38.69542,-121.59077
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,0,44210,11.029970594888034,61.34458250294151,9,33.67566,-117.86822
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,0,15393,12.392775937114273,69.2079264909856,11,27.39533,-82.55411
STL,St. Louis International Airport at Lambert Field,St Louis,MO,0,61190,12.289736885111946,56.87909775572769,12,38.74769,-90.35999
STS,Charles M.Schulz Sonoma Airport,Santa Rosa,CA,3,3362,7.868530636525877,57.499300515883995,3,38.2919,-122.458
STT,Cyril E. King Airport,Charlotte Amalie,VI,2,4591,13.307340448703986,80.35290535671456,6,18.33731,-64.97336
STX,Henry E. Rohlsen Airport,Christiansted,VI,2,1093,9.844464775846294,75.78349945934096,3,17.70189,-64.79856
SUN,Friedman Memorial Airport,Hailey,ID,2,1645,8.525227963525836,70.4661149738872,1,43.50484,-114.29659
SYR,Syracuse Hancock International Airport,Syracuse,NY,0,13019,11.137260926338428,71.37291236207736,12,43.11119,-76.10631
TLH,Tallahassee International Airport,Tallahassee,FL,3,4858,5.638534376286538,51.07230089740494,5,30.39653,-84.35033
TPA,Tampa International Airport,Tampa,FL,0,77303,12.978720101419091,55.283047466455905,10,27.97547,-82.53325
TRI,Tri-Cities Regional Airport,Bristol,TN,3,2731,5.225558403515196,53.968967667270235,6,36.47521,-82.40742
